EventID,Timestamp,Flag,Name_src,DM,MaxSNR,BeamID,TriggerSent,filename,TriggerInfo,mtime
"20250601_043218Z","2025-06-01T04:32:18.887685+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,26.375,121,true,"event-20250601_043218Z.json",[object Object],1748752341717.3442
"20250601_043102Z","2025-06-01T04:31:02.165509+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.453125,121,true,"event-20250601_043102Z.json",[object Object],1748752264646.7324
"20250601_041149Z","2025-06-01T04:11:49.407749+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,11.2421875,123,true,"event-20250601_041149Z.json",[object Object],1748751114623.951
"20250531_065827Z","2025-05-31T06:58:27.218437+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,19.125,125,true,"event-20250531_065827Z.json",[object Object],1748674730329.8457
"20250531_063157Z","2025-05-31T06:31:57.242373+00:00","PSR","Crab (PSR B0531+21)",57.230662012008736,13.3671875,127,true,"event-20250531_063157Z.json",[object Object],1748673121433.7744
"20250531_063030Z","2025-05-31T06:30:30.694917+00:00","PSR","Crab (PSR B0531+21)",57.230662012008736,10.28125,127,true,"event-20250531_063030Z.json",[object Object],1748673033254.166
"20250531_063009Z","2025-05-31T06:30:09.722373+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,10.28125,127,true,"event-20250531_063009Z.json",[object Object],1748673012301.0215
"20250531_062653Z","2025-05-31T06:26:53.839365+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,9.640625,112,true,"event-20250531_062653Z.json",[object Object],1748672816651.6719
"20250531_062245Z","2025-05-31T06:22:45.499909+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,18.34375,112,true,"event-20250531_062245Z.json",[object Object],1748672568097.9573
"20250531_061208Z","2025-05-31T06:12:08.811525+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,18.40625,113,true,"event-20250531_061208Z.json",[object Object],1748671931691.6763
"20250531_061014Z","2025-05-31T06:10:14.287365+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,13.3203125,113,true,"event-20250531_061014Z.json",[object Object],1748671816489.9014
"20250531_055704Z","2025-05-31T05:57:04.629765+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,22.65625,114,true,"event-20250531_055704Z.json",[object Object],1748671027207.592
"20250531_054346Z","2025-05-31T05:43:46.713605+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,10.8203125,115,true,"event-20250531_054346Z.json",[object Object],1748670229307.2246
"20250531_052509Z","2025-05-31T05:25:09.166085+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,13.234375,117,true,"event-20250531_052509Z.json",[object Object],1748669111990.7114
"20250531_050330Z","2025-05-31T05:03:30.520069+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,10.78125,119,true,"event-20250531_050330Z.json",[object Object],1748667813240.591
"20250531_050309Z","2025-05-31T05:03:09.547525+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,16.71875,119,true,"event-20250531_050309Z.json",[object Object],1748667792105.45
"20250531_050009Z","2025-05-31T05:00:09.469957+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.3671875,119,true,"event-20250531_050009Z.json",[object Object],1748667611731.2468
"20250531_045905Z","2025-05-31T04:59:05.641989+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,9.5,119,true,"event-20250531_045905Z.json",[object Object],1748667548279.8237
"20250531_045727Z","2025-05-31T04:57:27.070725+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.4375,119,true,"event-20250531_045727Z.json",[object Object],1748667449732.1663
"20250531_045642Z","2025-05-31T04:56:42.620933+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,12.046875,119,true,"event-20250531_045642Z.json",[object Object],1748667405163.869
"20250531_045548Z","2025-05-31T04:55:48.066309+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,11.6171875,119,true,"event-20250531_045548Z.json",[object Object],1748667350644.5117
"20250531_045151Z","2025-05-31T04:51:51.809029+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,15.4609375,120,true,"event-20250531_045151Z.json",[object Object],1748667114209.9805
"20250531_044941Z","2025-05-31T04:49:41.784581+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,13.2578125,120,true,"event-20250531_044941Z.json",[object Object],1748666984436.1401
"20250531_042640Z","2025-05-31T04:26:40.248837+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,14.5703125,122,true,"event-20250531_042640Z.json",[object Object],1748665602642.9824
"20250531_041551Z","2025-05-31T04:15:51.153669+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,11.703125,123,true,"event-20250531_041551Z.json",[object Object],1748664953859.6448
